"Fecha","Valor","Medida","Año","Mes_num","Mes"
"2025-02-01",3.45,"Porcentaje - Mensual","2025","02","Febrero"
"2025-01-01",3.81,"Porcentaje - Mensual","2025","01","Enero"
"2024-12-01",2.68,"Porcentaje - Mensual","2024","12","Diciembre"
"2024-11-01",3.73,"Porcentaje - Mensual","2024","11","Noviembre"
"2024-10-01",3.53,"Porcentaje - Mensual","2024","10","Octubre"
"2024-09-01",3.69,"Porcentaje - Mensual","2024","09","Septiembre"
"2024-08-01",3.99,"Porcentaje - Mensual","2024","08","Agosto"
"2024-07-01",3.72,"Porcentaje - Mensual","2024","07","Julio"
"2024-06-01",3.13,"Porcentaje - Mensual","2024","06","Junio"
"2024-05-01",3.54,"Porcentaje - Mensual","2024","05","Mayo"
"2024-04-01",3.38,"Porcentaje - Mensual","2024","04","Abril"
"2024-03-01",3.76,"Porcentaje - Mensual","2024","03","Marzo"
"2024-02-01",4.23,"Porcentaje - Mensual","2024","02","Febrero"
"2024-01-01",3.92,"Porcentaje - Mensual","2024","01","Enero"
"2023-12-01",3.38,"Porcentaje - Mensual","2023","12","Diciembre"
"2023-11-01",3.45,"Porcentaje - Mensual","2023","11","Noviembre"
"2023-10-01",3.56,"Porcentaje - Mensual","2023","10","Octubre"
"2023-09-01",3.67,"Porcentaje - Mensual","2023","09","Septiembre"
"2023-08-01",3.47,"Porcentaje - Mensual","2023","08","Agosto"
"2023-07-01",3.7,"Porcentaje - Mensual","2023","07","Julio"
"2023-06-01",3.83,"Porcentaje - Mensual","2023","06","Junio"
"2023-05-01",3.2,"Porcentaje - Mensual","2023","05","Mayo"
"2023-04-01",4.02,"Porcentaje - Mensual","2023","04","Abril"
"2023-03-01",3.63,"Porcentaje - Mensual","2023","03","Marzo"
"2023-02-01",3.86,"Porcentaje - Mensual","2023","02","Febrero"
"2023-01-01",3.75,"Porcentaje - Mensual","2023","01","Enero"
"2022-12-01",3.19,"Porcentaje - Mensual","2022","12","Diciembre"
"2022-11-01",3.79,"Porcentaje - Mensual","2022","11","Noviembre"
"2022-10-01",4.08,"Porcentaje - Mensual","2022","10","Octubre"
"2022-09-01",4.07,"Porcentaje - Mensual","2022","09","Septiembre"
"2022-08-01",4.02,"Porcentaje - Mensual","2022","08","Agosto"
"2022-07-01",3.87,"Porcentaje - Mensual","2022","07","Julio"
"2022-06-01",4.04,"Porcentaje - Mensual","2022","06","Junio"
"2022-05-01",3.68,"Porcentaje - Mensual","2022","05","Mayo"
"2022-04-01",4.68,"Porcentaje - Mensual","2022","04","Abril"
"2022-03-01",4.78,"Porcentaje - Mensual","2022","03","Marzo"
"2022-02-01",4.33,"Porcentaje - Mensual","2022","02","Febrero"
"2022-01-01",5.39,"Porcentaje - Mensual","2022","01","Enero"
"2021-12-01",4.14,"Porcentaje - Mensual","2021","12","Diciembre"
"2021-11-01",4.41,"Porcentaje - Mensual","2021","11","Noviembre"
"2021-10-01",4.57,"Porcentaje - Mensual","2021","10","Octubre"
"2021-09-01",4.86,"Porcentaje - Mensual","2021","09","Septiembre"
"2021-08-01",4.85,"Porcentaje - Mensual","2021","08","Agosto"
